# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sun Jul 14 23:02:54 HKT 2024 [seed=1720969373677]
# outbreak.seq_run_2.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	default.clock.rate	host.clock.rate	default.meanRate	host.meanRate	host.rates.human.pig	default.treeLikelihood	default.branchRates	host.branchRates	host.treeLikelihood	coalescent
3609000	-27056.5109869875	-185.91449038287033	-26870.59649660463	0.8651905647731406	2023.4162302002542	16.80262673947186	9.106970257205816	4.241503895968073	1.3761244552942777	0.33169910966470295	0.1842584003229425	0.2049543822336934	0.2790881077786628	6.080682717460687E-4	0.5996755061853093	6.080682717460691E-4	0.5996755061853092	0.8129010291514628	-26825.345874852235	0.0	0.0	-45.250621752395375	-173.68877854103616
3610000	-27055.544819693067	-193.64843448532807	-26861.89638520774	0.9101176299806677	2023.3713031350467	17.293613616592854	11.360741915850296	4.120884983325604	0.8318400973546184	0.3299839948031694	0.18827839215676667	0.20264950526140274	0.2790881077786628	6.057254119777125E-4	0.7085452562778236	6.057254119777121E-4	0.7085452562778235	2.5620192210868584	-26817.520414469287	0.0	0.0	-44.37597073845252	-177.5459675964541
3611000	-27053.703301292044	-179.5790940369629	-26874.12420725508	0.9241582092472951	2023.3572625557802	16.99270687035766	7.565222759447785	3.8860387251216926	0.7222977429366074	0.33308457742754	0.18827839215676667	0.20378902083453646	0.2748480095811585	5.348366411414133E-4	0.3706344237822963	5.348366411414133E-4	0.37063442378229616	0.21518508023686553	-26824.398237120506	0.0	0.0	-49.725970134574524	-172.81801498108894
3612000	-27045.597234434197	-179.72117881383264	-26865.876055620363	0.9208573149406011	2023.3605634500868	16.959562117760107	6.985498945184435	3.418885044997002	0.9872850823051327	0.32974744392988453	0.18827839215676667	0.20378902083453646	0.278185143078814	5.824277139028904E-4	0.3489835537357839	5.824277139028913E-4	0.348983553735784	0.6548058163070036	-26820.12300165033	0.0	0.0	-45.7530539700362	-173.35286998403507
3613000	-27060.832609910754	-195.88438891457437	-26864.94822099618	0.8675645301420074	2023.4138562348853	17.80821613329706	8.095562988344067	2.96226741587219	0.9872850823051327	0.3274198534398509	0.18959125702420368	0.2067552697921918	0.2762336197437552	5.057858972957885E-4	0.6691418897908561	5.057858972957889E-4	0.6691418897908562	0.3295481593432891	-26821.099727618734	0.0	0.0	-43.84849337744412	-183.94761936260127
3614000	-27047.687008654382	-183.95460586362242	-26863.73240279076	0.8955085268345614	2023.3859122381928	17.474853238094763	8.082073396964962	3.4466719901182903	0.9872850823051327	0.3343561364304927	0.18432503597694397	0.20508520784880974	0.2762336197437552	5.486627015542812E-4	0.33099655156929336	5.486627015542815E-4	0.3309965515692936	0.005259528773362214	-26817.186625374816	0.0	0.0	-46.54577741594462	-178.28327647072604
3615000	-27045.224608537777	-176.51348508133276	-26868.711123456444	0.8756151501425391	2023.405805614885	16.432961943530504	6.473064200991469	3.119762335594962	1.112804000842001	0.33622888548335067	0.1811292648033574	0.2032124587959518	0.27942939091734176	6.011176031406994E-4	0.4177912157299017	6.011176031406992E-4	0.4177912157299018	0.38096630402959186	-26823.122599517643	0.0	0.0	-45.58852393880175	-169.66338423905674
3616000	-27060.909845592807	-179.49007945559612	-26881.41976613721	0.9106244939990267	2023.3707962710284	16.83825407666024	5.852696418125413	2.338860498808052	0.881935066283122	0.33622888548335067	0.1811292648033574	0.2032124587959518	0.27942939091734176	6.158764750232772E-4	0.26607507092305693	6.158764750232771E-4	0.2660750709230568	0.47407269620293585	-26835.361478347437	0.0	0.0	-46.05828778977127	-176.13348614437564
3617000	-27056.08784762044	-177.18476195969222	-26878.90308566075	0.9570552133997025	2023.3243655516278	17.09852253624204	5.105342543183693	2.6072804856214535	0.7739236506631086	0.33622888548335067	0.1811292648033574	0.2032124587959518	0.27942939091734176	5.174507601181073E-4	0.25724130949408613	5.174507601181072E-4	0.2572413094940862	1.078924757924806	-26830.491325480638	0.0	0.0	-48.41176018011329	-173.32517979193216
3618000	-27055.19785649414	-178.66793012362623	-26876.529926370513	0.8882783222827844	2023.3931424427446	16.58355476873429	4.707052906899259	2.5804083238106235	0.9505491615987712	0.3277421578014071	0.19050736676679	0.2044935269699877	0.27725694846181675	6.450419656224066E-4	0.4496843926057924	6.450419656224073E-4	0.4496843926057928	0.5301399165442539	-26831.075389173882	0.0	0.0	-45.454537196631385	-171.9306056072706
